team,win,loss,games,off_rank,off_plays,off_yards,off_yards_play,off_tds,off_yards_per_game,def_rank,def_plays,yards_allowed,yards_play_allowed,off_tds_allowed,total_tds_allowed,yards_per_game_allowed,first_down_rank,first_down_runs,first_down_passes,first_down_penalties,first_downs,first_down_def_rank,opp_first_down_runs,opp_first_down_passes,opp_first_down_penalties,opp_first_downs,4th_down_rank,4th_attempts,4th_conversions,4th_percent,4rd_down_def_rank,opp_4th_conversion,opp_4th_attempt,opponent_4th_percent,kickoff_return_rank,kickoffs_returned,kickoff_return_yards,kickoff_return_touchdowns,avg_yard_per_kickoff_return,kickoff_return_def_rank,opp_kickoff_returns,opponent_kickoff_return_yards,opp_kickoff_return_touchdowns_allowed,avg_yards_per_kickoff_return_allowed,passing_off_rank,pass_attempts,pass_completions,interceptions_thrown_x,pass_yards,pass_yards_attempt,yards_completion,pass_touchdowns,pass_yards_per_game,pass_def_rank,opp_completions_allowed,opp_pass_attempts,opp_pass_yds_allowed,opp_pass_tds_allowed,yards_attempt_allowed,yards_completion_allowed,pass_yards_per_game_allowed,penalty_rank,penalties,penalty_yards,penalty_yards_per_game,punt_return_rank,punt_returns,net_punt_return_yards,punt_return_touchdowns,avg_yards_per_punt_return,punt_return_def_rank,opp_punt_returns,opp_net_punt_return_yards,opp_punt_return_touchdowns_allowed,avg_yards_allowed_per_punt_return,redzone_off_rank,redzone_attempts,redzone_rush_td,redzone_pass_td,redzone_field_goals_made,redzone_scores,redzone_points,redzone_def_rank,opp_redzone_attempts,opp_redzone_rush_td_allowed,opp_redzone_pass_touchdowns_allowed,opp_redzone_field_goals_made,opp_redzone_scores,redzone_points_allowed,rushing_off_rank,rush_attempts,rush_yds,yards_rush,rushing_td,rushing_yards_per_game,rushing_def_rank,opp_rush_attempts,opp_rush_yards_alloweed,yds_rush_allowed,opp_rush_touchdowns_allowed,rush_yards_per_game_allowed,sack_rank,sacks,sack_yards,average_sacks_per_game,scoring_def_rank,touchdowns_allowed,opponent_extra_points,2_point_conversions_allowed,opp_deflected_extra_points,opp_safety,points_allowed,avg_points_per_game_allowed,scoring_off_rank,touchdowns,pat,2_point_conversions,defensive_points,safety,total_points,points_per_game,tackle_for_loss_rank,solo_tackle_for_loss,assist_tackle_for_loss,tackle_for_loss_yards,total_tackle_for_loss,tackle_for_loss_per_game,3rd_down_rank,3rd_attempts,3rd_conversions,3rd_percent,3rd_down_def_rank,opp_3rd_conversion,opp_3rd_attempt,opponent_3rd_percent,time_of_possession_rank,time_of_possession,average_time_of_possession_per_game,turnover_rank,fumbles_recovered,opponents_intercepted,turnovers_gain,fumbles_lost,interceptions_thrown_y,turnovers_lost,turnover_margin,avg_turnover_margin_per_game,opp_feild_goals_made,feild_goals,na,kickoff_touchbacks
Air Force 2017,5,7.0,12,49,908,5010,5.52,48,417.5,66,694,4727,6.81,47,49,393.9,14,114,81,17,212,14,114,81,17,212,21,16,25,0.64,82,5,9,0.556,12,30,34,529,0,12,30,529,0,17.63,125,143,69,6,1321,9.24,19.14,10,110.1,10,135,243,2053,16,8.45,15.21,171.1,14,48,465,38.75,120,9,122,1,13.56,120,9,122,1,13.56,38,48,34,2,6,42,0.875,107,43,19,6,13,38,0.884,4,765,3689,4.82,38,307.4,117,451,2674,5.93,31,222.8,47,22,149,1.83,101,49,48,1,0,0,389,32.4,44,50,45,1,0,0,377,31.4,127,40,12,166,46,3.8,3,166,81,0.488,95,60,142,0.423,7,   401:31,   33:27,119,5,5,10,14,6,20,-10,-0.83,,,,
Akron 2017,7,7.0,14,121,906,4424,4.88,38,316.0,103,1030,6200,6.02,48,49,442.9,129,151,146,31,328,129,151,146,31,328,82,7,15,0.467,101,17,28,0.607,54,46,12,924,0,54,46,924,0,20.09,81,447,242,11,2949,6.6,12.19,24,210.6,84,283,458,3324,24,7.26,11.75,237.4,103,88,873,62.36,123,23,330,1,14.35,123,23,330,1,14.35,121,33,13,7,4,24,0.727,36,55,19,15,10,44,0.8,123,459,1475,3.21,14,105.4,105,572,2876,5.03,24,205.4,107,38,243,2.71,73,49,45,1,0,0,392,28.0,107,42,40,0,0,0,310,22.1,86,56,36,282,74,5.3,71,203,80,0.394,26,65,190,0.342,89,   402:27,   28:44,19,8,19,27,6,11,17,10,0.71,,,,
Alabama 2017,13,1.0,14,29,944,6217,6.59,64,444.1,1,913,3646,3.99,17,18,260.4,17,76,114,25,215,17,76,114,25,215,1,15,18,0.833,11,7,19,0.368,24,52,45,973,0,24,52,973,0,18.71,91,332,204,3,2708,8.16,13.27,28,193.4,6,229,426,2320,8,5.45,10.13,165.7,23,70,569,40.64,57,6,39,0,6.5,57,6,39,0,6.5,57,68,29,17,12,58,0.853,18,32,9,6,9,24,0.75,13,612,3509,5.73,36,250.6,1,487,1326,2.72,9,94.7,59,27,154,1.93,1,18,15,0,0,1,167,11.9,15,66,64,1,0,0,519,37.1,24,85,32,414,101,7.2,60,178,72,0.404,30,74,214,0.346,70,   416:33,   29:45,5,5,19,24,7,3,10,14,1.0,,,,
Appalachian St. 2017,9,4.0,13,31,886,5718,6.45,55,439.8,29,839,4453,5.31,28,30,342.5,20,95,109,18,222,20,95,109,18,222,60,13,24,0.542,62,6,12,0.5,45,50,29,989,1,45,50,989,1,19.78,75,356,215,6,2811,7.9,13.07,28,216.2,39,219,380,2666,14,7.02,12.17,205.1,105,91,831,63.92,77,16,131,0,8.19,77,16,131,0,8.19,67,57,22,14,12,48,0.842,59,39,13,6,13,32,0.821,22,530,2907,5.48,27,223.6,36,459,1787,3.89,14,137.5,2,8,55,0.62,21,30,29,0,0,0,263,20.2,30,55,52,0,0,1,435,33.5,30,67,46,361,90,6.9,62,176,71,0.403,23,60,181,0.331,32,   407:09,   31:19,11,8,18,26,8,6,14,12,0.92,,,,
Arizona 2017,7,6.0,13,12,908,6364,7.01,67,489.5,118,1015,6125,6.03,57,59,471.2,128,128,164,29,321,128,128,164,29,321,6,12,17,0.706,88,14,25,0.56,89,28,63,625,0,89,28,625,0,22.32,100,295,183,13,2343,7.94,12.8,19,180.2,123,307,493,3719,25,7.54,12.11,286.1,71,68,705,54.23,111,17,205,1,12.06,111,17,205,1,12.06,34,52,30,7,9,46,0.885,20,63,27,15,6,48,0.762,3,613,4021,6.56,48,309.3,85,522,2406,4.61,32,185.1,25,19,126,1.46,108,59,54,2,0,1,447,34.4,5,71,67,1,0,0,537,41.3,76,58,30,299,73,5.6,44,168,71,0.423,119,92,197,0.467,92,   372:08,   28:37,46,6,19,25,9,13,22,3,0.23,,,,
Arizona St. 2017,7,6.0,13,37,981,5600,5.71,48,430.8,108,924,5846,6.33,51,54,449.7,110,112,155,23,290,110,112,155,23,290,55,10,18,0.556,16,7,18,0.389,99,22,52,511,1,99,22,511,1,23.23,43,416,264,9,3324,7.99,12.59,21,255.7,120,289,459,3574,20,7.79,12.37,274.9,7,50,487,37.46,36,28,156,0,5.57,36,28,156,0,5.57,5,53,26,14,11,51,0.962,57,55,21,11,13,45,0.818,51,565,2276,4.03,27,175.1,77,465,2272,4.89,31,174.8,120,41,240,3.15,104,54,49,0,0,0,427,32.8,42,51,49,0,0,1,414,31.8,53,67,28,334,81,6.2,23,208,93,0.447,94,76,180,0.422,29,   408:12,   31:24,56,6,11,17,6,9,15,2,0.15,,,,
Arkansas 2017,4,8.0,12,94,802,4481,5.59,42,373.4,101,815,5259,6.45,51,56,438.3,67,128,115,14,257,67,128,115,14,257,69,9,18,0.5,115,10,15,0.667,34,38,21,735,1,34,38,735,1,19.34,83,340,192,9,2465,7.25,12.84,18,205.4,92,205,346,2906,23,8.4,14.18,242.2,28,58,505,42.08,12,11,40,0,3.64,12,11,40,0,3.64,38,40,21,9,5,35,0.875,125,52,21,13,14,48,0.923,61,462,2016,4.36,24,168.0,97,469,2353,5.02,28,196.1,113,35,197,2.92,114,56,53,0,0,0,434,36.2,62,46,41,2,0,0,345,28.8,125,39,18,190,48,4.0,45,165,69,0.418,121,77,162,0.475,28,   376:57,   31:24,75,9,8,17,9,9,18,-1,-0.08,,,,
Arkansas St. 2017,7,5.0,12,10,975,5937,6.09,55,494.8,54,857,4530,5.29,35,40,377.5,32,88,120,25,233,32,88,120,25,233,116,5,15,0.333,9,4,11,0.364,74,49,24,1048,3,74,49,1048,3,21.39,5,512,317,17,4106,8.02,12.95,38,342.2,91,204,397,2897,18,7.3,14.2,241.4,119,94,828,69.0,2,4,8,0,2.0,2,4,8,0,2.0,122,64,13,22,11,46,0.719,42,31,14,5,6,25,0.806,79,463,1831,3.95,17,152.6,33,460,1633,3.55,17,136.1,108,33,201,2.75,56,40,34,3,0,1,309,25.8,13,59,48,1,0,1,454,37.8,6,74,51,406,100,8.3,26,180,80,0.444,21,61,185,0.33,87,   346:17,   28:51,75,10,14,24,8,17,25,-1,-0.08,,,,
Army West Point 2017,10,3.0,13,76,850,5071,5.97,52,390.1,32,727,4546,6.25,37,39,349.7,40,115,106,15,236,40,115,106,15,236,24,19,30,0.633,127,14,19,0.737,62,48,20,981,1,62,48,981,1,20.44,129,65,20,6,361,5.55,18.05,2,27.8,14,190,304,2298,14,7.56,12.09,176.8,6,55,472,36.31,84,7,61,0,8.71,84,7,61,0,8.71,48,51,41,1,2,44,0.863,3,34,11,8,5,24,0.706,1,785,4710,6.0,50,362.3,74,423,2248,5.31,23,172.9,1,1,5,0.08,32,39,34,0,0,0,286,22.0,46,56,50,2,0,0,399,30.7,126,40,22,280,51,3.9,1,165,91,0.552,79,55,137,0.401,4,   451:29,   34:43,30,9,6,15,4,6,10,5,0.38,,,,
Auburn 2017,10,4.0,14,26,1024,6323,6.17,55,451.6,14,957,4471,4.67,27,31,319.4,32,100,111,22,233,32,100,111,22,233,82,7,15,0.467,46,14,30,0.467,129,25,65,680,1,129,25,680,1,27.2,65,382,255,6,3267,8.55,12.81,21,233.4,18,232,428,2553,16,5.96,11.0,182.4,13,63,537,38.36,108,14,160,1,11.43,108,14,160,1,11.43,36,59,29,9,14,52,0.881,64,36,8,12,10,30,0.833,26,642,3056,4.76,34,218.3,35,529,1918,3.63,11,137.0,100,36,224,2.57,12,31,29,1,0,0,259,18.5,27,58,57,0,0,0,474,33.9,70,65,32,341,81,5.8,15,209,95,0.455,20,73,222,0.329,31,   439:03,   31:21,71,13,6,19,14,6,20,-1,-0.07,,,,
Ball St. 2017,2,10.0,12,110,902,4022,4.46,26,335.2,87,764,5059,6.62,56,65,421.6,46,105,122,15,242,46,105,122,15,242,116,8,24,0.333,8,4,12,0.333,49,36,8,718,0,49,36,718,0,19.94,104,405,228,14,2126,5.25,9.32,11,177.2,78,186,316,2803,29,8.87,15.07,233.6,17,49,479,39.92,112,23,284,3,12.35,112,23,284,3,12.35,105,30,10,8,5,23,0.767,88,51,19,14,11,44,0.863,73,497,1896,3.81,15,158.0,90,448,2256,5.04,27,188.0,108,33,190,2.75,124,65,60,1,0,0,488,40.7,121,27,26,0,0,0,215,17.9,73,49,40,261,69,5.8,79,203,79,0.389,118,69,148,0.466,10,   398:01,   33:10,115,6,6,12,7,14,21,-9,-0.75,,,,
Baylor 2017,1,11.0,12,59,876,4859,5.55,33,404.9,111,849,5483,6.46,47,52,456.9,74,124,125,15,264,74,124,125,15,264,68,17,33,0.515,106,10,16,0.625,118,42,13,1032,1,118,42,1032,1,24.57,24,462,269,14,3452,7.47,12.83,23,287.7,114,255,386,3204,25,8.3,12.56,267.0,78,88,671,55.92,7,20,59,0,2.95,7,20,59,0,2.95,101,40,7,11,13,31,0.775,109,44,12,10,17,39,0.886,114,414,1407,3.4,10,117.3,91,463,2279,4.92,22,189.9,121,38,266,3.17,113,52,51,1,0,0,431,35.9,98,33,30,1,0,1,292,24.3,32,69,28,288,83,6.9,114,186,61,0.328,71,66,169,0.391,68,   357:39,   29:48,123,8,3,11,11,14,25,-14,-1.17,,,,
Boise St. 2017,11,3.0,14,57,981,5686,5.8,51,406.1,22,965,4657,4.83,37,42,332.6,58,98,134,18,250,58,98,134,18,250,129,3,17,0.176,102,14,23,0.609,84,30,53,659,0,84,30,659,0,21.97,37,449,281,7,3677,8.19,13.09,26,262.6,49,280,470,2974,17,6.33,10.62,212.4,52,82,700,50.0,13,17,63,0,3.71,13,17,63,0,3.71,88,63,21,15,15,51,0.81,98,40,19,10,6,35,0.875,90,532,2009,3.78,25,143.5,17,495,1683,3.4,20,120.2,60,28,160,2.0,38,42,39,0,0,1,320,22.9,36,57,57,0,0,1,455,32.5,75,68,22,302,79,5.6,9,203,93,0.458,59,78,204,0.382,35,   437:32,   31:15,9,11,15,26,6,7,13,13,0.93,,,,
